"restaurant_id","name","city","avg_rating","revenue","total_orders"
242,"Dragon Wok 242","Kolkata","5.00","7591.44","5"
269,"Urban Tadka 269","Kolkata","5.00","6514.41","5"
96,"Mumbai Masala 96","Mumbai","5.00","5772.33","6"
220,"Dragon Wok 220","Bangalore","5.00","4343.35","3"
48,"Madras Cafe 48","Bangalore","5.00","3476.59","3"
275,"Golden Spoon 275","Chennai","5.00","2374.23","3"
105,"Caf̩ Masaledar 105","Mumbai","5.00","1820.26","2"
68,"Bombay Bistro 68","Chennai","5.00","994.49","1"
245,"Mughal Mahal 245","Bangalore","5.00","178.45","1"
41,"Golden Spoon 41","Delhi","4.90","11065.40","8"
212,"Saffron Delight 212","Bangalore","4.90","10926.50","7"
213,"Pizza Junction 213","Bangalore","4.90","9479.48","5"
296,"Bombay Bistro 296","Delhi","4.90","7841.98","8"
276,"Punjabi Dhaba 276","Mumbai","4.90","7791.88","6"
249,"Golden Spoon 249","Bangalore","4.90","7541.99","6"
85,"The Hungry Panda 85","Bangalore","4.90","6110.71","5"
267,"Taste of Punjab 267","Chennai","4.90","5697.45","6"
179,"Curry Kingdom 179","Kolkata","4.90","5274.47","4"
46,"The Hungry Panda 46","Kolkata","4.90","5077.01","3"
115,"Annapurna Bhavan 115","Kolkata","4.90","4588.65","4"
297,"Dragon Wok 297","Bangalore","4.90","4564.41","3"
261,"Curry Kingdom 261","Mumbai","4.90","3820.41","2"
173,"Chai & Chat 173","Delhi","4.90","3638.62","2"
18,"Delhi Darbar 18","Bangalore","4.90","2543.11","3"
180,"Dragon Wok 180","Chennai","4.90","2531.56","3"
178,"Kolkata Kitchen 178","Delhi","4.90","1137.91","1"
283,"Taste of Punjab 283","Kolkata","4.90","937.88","1"
65,"Chai & Chat 65","Kolkata","4.90","22.25","1"
143,"Royal Tandoor 143","Kolkata","4.80","5409.79","4"
67,"Golden Spoon 67","Mumbai","4.80","5049.71","5"
25,"Chai & Chat 25","Chennai","4.80","4910.43","3"
239,"Biryani House 239","Kolkata","4.80","4390.06","4"
265,"Burger Factory 265","Kolkata","4.80","3560.02","2"
157,"Rasoi Ghar 157","Chennai","4.80","3459.53","3"
124,"Taste of Punjab 124","Delhi","4.80","3449.34","3"
138,"Biryani House 138","Chennai","4.80","3294.28","2"
119,"The Hungry Panda 119","Delhi","4.80","2079.63","1"
192,"The Curry Leaf 192","Delhi","4.80","1334.08","1"
36,"Mughal Mahal 36","Delhi","4.80","1072.45","1"
147,"The Food Studio 147","Kolkata","4.70","9413.07","5"
63,"Masala Magic 63","Chennai","4.70","6786.59","9"
214,"Chai & Chat 214","Chennai","4.70","5223.16","3"
137,"The Curry Leaf 137","Chennai","4.70","3491.64","2"
272,"Annapurna Bhavan 272","Chennai","4.70","3447.26","2"
109,"Madras Cafe 109","Delhi","4.70","3397.43","5"
170,"Rasoi Ghar 170","Chennai","4.70","3238.72","3"
15,"Mumbai Masala 15","Bangalore","4.70","1491.48","1"
298,"Madras Cafe 298","Bangalore","4.70","1295.28","1"
241,"Biryani House 241","Mumbai","4.70","657.54","2"
282,"Chai & Chat 282","Delhi","4.70","590.52","2"
200,"Chai & Chat 200","Chennai","4.60","9419.76","7"
252,"Mumbai Masala 252","Chennai","4.60","9088.22","7"
146,"Mumbai Masala 146","Chennai","4.60","7868.08","7"
103,"The Curry Leaf 103","Delhi","4.60","7027.01","5"
235,"Biryani House 235","Delhi","4.60","3686.64","4"
134,"Burger Factory 134","Bangalore","4.60","3494.25","2"
186,"Flavours of India 186","Delhi","4.60","3398.63","4"
222,"Punjabi Dhaba 222","Kolkata","4.60","2798.23","2"
183,"Urban Tadka 183","Kolkata","4.60","2517.46","3"
141,"Madras Cafe 141","Delhi","4.60","2221.07","3"
107,"Kolkata Kitchen 107","Bangalore","4.60","2029.09","2"
144,"Curry Kingdom 144","Chennai","4.60","1287.38","1"
22,"Rasoi Ghar 22","Delhi","4.60","1116.89","1"
217,"Taste of Punjab 217","Chennai","4.60","558.00","2"
104,"The Food Studio 104","Chennai","4.50","6095.20","6"
34,"South Spice 34","Kolkata","4.50","5793.37","5"
44,"Golden Spoon 44","Delhi","4.50","5708.91","5"
127,"Tandoori Nights 127","Chennai","4.50","4727.45","3"
148,"Pizza Junction 148","Chennai","4.50","4484.77","4"
159,"Spice Villa 159","Bangalore","4.50","4300.69","4"
169,"Flavours of India 169","Chennai","4.50","3132.70","2"
266,"Taste of Punjab 266","Delhi","4.50","2236.04","2"
160,"Taste of Punjab 160","Chennai","4.50","2134.64","2"
149,"Golden Spoon 149","Chennai","4.50","1899.37","2"
7,"Dragon Wok 7","Bangalore","4.50","1494.43","2"
1,"Chai & Chat 1","Delhi","4.50","1433.17","2"
39,"Delhi Darbar 39","Mumbai","4.50","1233.32","2"
2,"The Curry Leaf 2","Mumbai","4.50","681.24","1"
271,"Chutney Express 271","Bangalore","4.50","309.44","1"
295,"Spice Villa 295","Chennai","4.40","8926.39","6"
120,"Delhi Darbar 120","Bangalore","4.40","7763.58","6"
285,"Biryani House 285","Mumbai","4.40","7662.93","7"
292,"Burger Factory 292","Chennai","4.40","6170.30","3"
21,"Masala Magic 21","Kolkata","4.40","4496.29","3"
47,"Caf̩ Masaledar 47","Kolkata","4.40","4406.02","4"
181,"Delhi Darbar 181","Delhi","4.40","4215.27","2"
198,"Delhi Darbar 198","Delhi","4.40","4029.99","4"
199,"Golden Spoon 199","Kolkata","4.40","3795.31","3"
80,"Masala Magic 80","Mumbai","4.40","3760.65","3"
182,"Chai & Chat 182","Mumbai","4.40","3607.14","2"
70,"Kolkata Kitchen 70","Kolkata","4.40","3384.87","2"
211,"Bombay Bistro 211","Bangalore","4.40","3284.93","3"
97,"Bombay Bistro 97","Chennai","4.40","3167.79","4"
121,"Spice Villa 121","Kolkata","4.40","2757.35","2"
33,"Pizza Junction 33","Delhi","4.40","2755.36","4"
87,"Bombay Bistro 87","Chennai","4.40","2129.05","2"
281,"Masala Magic 281","Bangalore","4.40","2012.05","4"
139,"Dragon Wok 139","Mumbai","4.40","1830.72","2"
231,"Taste of Punjab 231","Chennai","4.40","1491.62","2"
258,"Chai & Chat 258","Kolkata","4.40","1215.24","2"
131,"Mughal Mahal 131","Chennai","4.40","820.54","1"
88,"Burger Factory 88","Kolkata","4.30","6297.51","5"
133,"Biryani House 133","Bangalore","4.30","5538.42","5"
94,"The Food Studio 94","Delhi","4.30","4605.59","4"
19,"Chai & Chat 19","Delhi","4.30","3342.24","2"
187,"Curry Kingdom 187","Chennai","4.30","2892.83","2"
59,"Mughal Mahal 59","Delhi","4.30","2434.58","2"
130,"Tandoori Nights 130","Kolkata","4.30","2416.39","2"
14,"Madras Cafe 14","Delhi","4.30","2105.12","2"
247,"Tandoori Nights 247","Bangalore","4.30","1546.11","2"
114,"Biryani House 114","Bangalore","4.30","452.08","2"
177,"Chutney Express 177","Mumbai","4.20","6648.56","5"
218,"Annapurna Bhavan 218","Chennai","4.20","6292.83","4"
3,"South Spice 3","Kolkata","4.20","5731.05","3"
193,"The Curry Leaf 193","Chennai","4.20","5691.44","4"
145,"South Spice 145","Kolkata","4.20","5493.93","3"
40,"Pizza Junction 40","Kolkata","4.20","5333.85","5"
77,"The Food Studio 77","Kolkata","4.20","5228.25","5"
232,"Caf̩ Masaledar 232","Bangalore","4.20","4988.42","4"
117,"Masala Magic 117","Delhi","4.20","4704.60","4"
118,"Chutney Express 118","Bangalore","4.20","4286.45","3"
13,"Rasoi Ghar 13","Kolkata","4.20","3882.11","3"
254,"Delhi Darbar 254","Kolkata","4.20","3526.72","5"
202,"The Curry Leaf 202","Bangalore","4.20","2233.16","1"
208,"Golden Spoon 208","Bangalore","4.20","1245.43","2"
10,"Curry Kingdom 10","Bangalore","4.20","474.81","1"
116,"Curry Kingdom 116","Bangalore","4.20","299.43","2"
55,"Masala Magic 55","Chennai","4.10","7137.17","7"
300,"Annapurna Bhavan 300","Kolkata","4.10","6956.08","10"
259,"Urban Tadka 259","Kolkata","4.10","6866.20","5"
184,"Dragon Wok 184","Delhi","4.10","6702.09","4"
164,"Mughal Mahal 164","Mumbai","4.10","6519.98","4"
12,"Curry Kingdom 12","Chennai","4.10","6136.88","5"
84,"Dragon Wok 84","Delhi","4.10","5886.62","5"
278,"Curry Kingdom 278","Chennai","4.10","4661.41","4"
51,"Flavours of India 51","Delhi","4.10","3746.74","3"
32,"Annapurna Bhavan 32","Kolkata","4.10","2814.75","2"
270,"Golden Spoon 270","Mumbai","4.10","2633.55","4"
171,"Golden Spoon 171","Delhi","4.10","2138.26","1"
72,"Royal Tandoor 72","Kolkata","4.10","1489.40","1"
165,"Caf̩ Masaledar 165","Chennai","4.10","936.52","2"
5,"The Hungry Panda 5","Kolkata","4.10","887.08","2"
224,"Dragon Wok 224","Chennai","4.10","137.26","1"
